PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Indicates the type of activity observed: 0-10:  Low Permeability; 10-100: Moderate Permeability; >100: High Permeability,Observed permeability value for pH5 buffer (x 10-6 cm/sec),Annotation/notes on a particular compound's data or its analysis as described in the published paper.
1,124876702,563972,CSC1=NC2=C(C3=CC=CC=C3N2CCC4=CC=CC=C4)N=N1,Active,100,,,High,>1000,class = 0
2,124876734,766793,CCN(CC)C(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31,Active,100,,,High,>1000,class = 0
3,14742988,2021006,C1=CC=C(C=C1)CN2C(=C(C3=NC4=CC=CC=C4N=C32)S(=O)(=O)C5=CC=CS5)N,Active,100,,,High,>1000,class = 0
4,24817107,1075912,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,Active,74,,,Moderate,74.15,class = 0
5,49728050,6460634,CCOC1=C(C=C(C=C1)S(=O)(=O)NCC2=CN=CC=C2)NC(=O)C3=CC=CC=C3F,Active,100,,,High,278.38,class = 0
6,92763348,434973,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,Active,21,,,Moderate,20.66,class = 0
7,92763396,426728,COC1=C(C(=C2C(=C1)CCC(C3=CC(=O)C(=CC=C32)SC)N)OC)OC,Active,55,,,Moderate,55.04,class = 0
8,124877629,667466,CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Active,100,,,High,530.72,class = 0
9,174006272,53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,Active,100,,,High,141.95,class = 0
10,124880296,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Active,100,,,High,396.03,class = 0
11,124880521,133633,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CC3=CNC4=CC=CC=C43,Active,100,,,High,418.75,class = 0
12,90341259,4658,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)I,Active,100,,,High,758.19,class = 0
13,124880630,6603915,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)F,Active,73,,,Moderate,73.05,class = 0
14,170466409,16363,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,Active,98,,,Moderate,98.19,class = 0
