PUBCHEM_SID,PUBCHEM_CID,SMILES_ISO,PUBCHEM_ACTIVITY_OUTCOME,Phenotype (0-10 = Low Permeability; 10-100 = Moderate Permeability; >100 = High Permeability),Permeability,Compound QC
855633,2466,CCCCOC1=CC=C(C=C1)CC(=O)NO,Active,High,133.08,QC'ed NCATS
85267104,1259573,COC1=C(C=C(C=C1)CCN2C(=CC(=O)NC2=S)N)OC,Inactive,Low,7.34,QC'ed NCATS
7978154,1275864,COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CO3,Active,High,970.77,QC'ed NCATS
17402368,4878,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N,Active,High,>1000,QC'ed NCATS
17511506,2030130,CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCCCC5,Active,High,440.35,QC'ed NCATS
22411266,4422695,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)O)S(=O)(=O)N3CCOCC3,Active,Moderate,23.43,QC'ed NCATS
14720733,1131802,COC1=CC(=CC(=C1O)OC)C2=NC(=C(N2)C3=CC=CS3)C4=CC=CC=C4,Active,High,530.2,QC'ed NCATS
14732296,759785,CN(C)C1=C2C(=C(SC2=NC=C1)C(=O)N)N,Active,Moderate,44.23,QC'ed NCATS
22416654,2886111,CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=NC=C3,Active,High,580.88,QC'ed NCATS
24824333,1489415,C1=CC=C2C(=C1)C(=N)N(N=N2)C3=CC=C(C=C3)C(F)(F)F,Active,High,147.52,QC'ed NCATS
24817107,1075912,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,Inactive,Low,8.62,QC'ed NCATS
24807327,15740787,C[N+]1=C2N(C3=CC=CC=C31)N=C(CS2)C4=CC=C(C=C4)OC.[Br-],Inactive,Low,1,QC'ed NCATS
24780348,16187362,CCOC(=O)C1(CCN(CC1)C2CCN(CC2)C(C)C)CC3=CC=CC=C3C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
26667298,16682542,CCO.C1=CC=C2C=C(C=CC2=C1)SC3=CC4=C(C=C3)N=C(N=C4N)N,Active,High,460.58,QC'ed NCATS
26670449,4880352,C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4,Active,High,289.75,QC'ed NCATS
26726099,1955100,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4)C(=O)O,Active,Moderate,12.14,QC'ed NCATS
49816692,2985259,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC(=CN=C3)Br)C(=O)C4=CC=CC=C4F,Active,High,>1000,QC'ed NCATS
49822379,16452407,CC1=CC(=CC=C1)N2C=CC(=O)C(=N2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,Inconclusive,N/F,N/F,QC'ed NCATS
49823269,6461311,C1CC1C(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O,Active,High,117.2,QC'ed NCATS
49646140,16397347,CC(C)C(C(=O)O)NC(=O)CNC(=O)CO/N=C/1\CC[C@@]2(C3CC[C@]4(C(C3CCC2=C1)CCC4(C#C)O)C)C,Inactive,Low,4.52,QC'ed NCATS
49667996,16396759,C/C(=N\NC(=S)N)/C1=CCC2[C@@]1(CCC3C2CC[C@@H]4[C@@]3(CCC(C4)O)C)C,Inconclusive,N/F,N/F,QC'ed NCATS
49673740,9268266,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)CCOC3=CC=C(C=C3)OC,Inconclusive,N/F,N/F,QC'ed NCATS
47195715,741756,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3,Active,High,105.78,QC'ed NCATS
47201514,4451672,C1=CC=C(C=C1)C2=C(N3C(=C(C=N3)C4=CC=CC=C4)N=C2)N,Inconclusive,N/F,N/F,QC'ed NCATS
49649460,23604753,CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4,Active,High,206.84,QC'ed NCATS
92763348,434973,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,Active,Moderate,19.46,QC'ed NCATS
99355989,277845,C1CCC(=O)C2=CC(=C(C=C2C1)O)O,Active,Moderate,20.94,QC'ed NCATS
4238496,3233606,C1CN(CCC12CCN(CC2)C(=O)C3=CC(=CC=C3)F)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
4239807,3234914,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3,Active,High,354.66,QC'ed NCATS
4240333,3235438,C1=CC=C(C(=C1)C2=NC=CC(=N2)N3C=CN=C3)Cl,Active,High,>1000,QC'ed NCATS
4240452,3235557,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3N4CCC(CC4)C(=O)O,Inactive,Low,1.5,QC'ed NCATS
144203564,79472,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,Inactive,Low,1,QC'ed NCATS
